Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,class
,High Value,191.3863636,302.1805913,87.48231864,100,,2
Control,,155.2235175,182.6345653,49.66497098,,Yes,2
Treatment,High Value,327.227035,517.6947251,78.24258371,,Yes,2
,High Value,211.7998612,247.9585655,90.24327197,,No,2
Treatment,Low Value,196.7964773,307.5903489,48.37064636,51.7885836,No,2
Treatment,Medium Value,,310.8024854,76.47324195,80.94818628,No,2
Control,Medium Value,207.743663,257.3278457,60.02769903,74.05808583,Yes,2
,Low Value,,225.7563343,52.25082221,,Yes,2
Treatment,Low Value,90.54394099,128.2800224,,42.44259185,Yes,2
Treatment,Medium Value,218.1829928,339.3139225,,82.12393538,No,2
Control,,155.3777843,190.9417706,58.91096386,62.97600946,Yes,2
Control,Low Value,266.0147537,314.3340257,45.509154,57.5887071,No,2
Treatment,Low Value,146.1310953,238.2200461,52.34652212,63.59685195,Yes,2
Control,Medium Value,173.101148,216.3546628,70.25741889,91.38520333,No,2
Treatment,High Value,350.125357,551.4950722,75.08473507,83.55590953,Yes,2
Treatment,High Value,254.4054513,,87.58931435,100,Yes,2
Control,Low Value,138.2153245,,42.38259048,54.50406937,Yes,2
Control,Medium Value,202.5431672,244.068626,70.73714411,,Yes,2
,Low Value,122.4297295,152.3394346,62.01925009,,Yes,2
Control,Medium Value,209.9432149,245.4954247,78.69834738,,No,2
Control,Low Value,138.6656083,170.9829758,56.74066246,,Yes,2
Treatment,Medium Value,283.1802735,445.7498324,73.21538055,74.47099538,,2
Treatment,,203.8462203,,67.43798858,71.67245723,No,2
Control,High Value,245.0892269,292.2207619,100,,No,2
Control,Low Value,222.0249062,274.0658364,51.12091323,65.73835463,,2
Control,High Value,271.8337125,333.3419139,,87.89494651,,2
Treatment,,185.1344704,288.8166248,97.18590076,95.73263258,Yes,2
Control,Medium Value,,225.9935755,75.90827158,86.11102966,Yes,2
Control,Low Value,164.6031131,195.922264,44.61907488,59.28389909,No,2
Treatment,Medium Value,292.6246839,456.4807709,65.14667311,,Yes,2
Treatment,Medium Value,84.5060072,140.3261339,70.90015225,63.5418333,No,2
Control,Medium Value,170.1976417,206.6314159,64.13434795,61.5029483,No,2
Control,Low Value,169.7471078,204.5025212,,,Yes,2
Control,,184.9578015,227.1206773,47.66391086,59.56585037,No,2
Treatment,Medium Value,208.7271496,332.6931344,66.82582492,63.81348654,No,2
Control,Low Value,,203.7995692,51.01880344,52.50220853,Yes,2
,Medium Value,,224.5296963,75.56758144,76.41002742,Yes,2
Control,,176.5121476,217.8099199,57.40931307,,Yes,2
Treatment,Low Value,193.250457,311.6474477,,63.58258743,Yes,2
Treatment,High Value,323.4933432,529.1129652,63.96188408,76.135728,Yes,2
Control,Medium Value,282.6149542,342.8990732,71.86026207,78.44251104,Yes,2
,High Value,226.1655185,279.551169,94.50802675,100,Yes,2
Treatment,High Value,,,96.90833847,100,No,2
Treatment,,185.3904845,295.2015133,66.05505784,77.40268327,No,2
Treatment,Medium Value,,199.2295075,,81.09913799,No,2
Treatment,Low Value,214.8777516,324.4501281,,55.32605379,Yes,2
Treatment,Medium Value,201.526965,317.6892856,80.60097866,85.10869426,Yes,2
Treatment,High Value,,394.1450359,70.04350508,81.09495127,No,2
Treatment,High Value,233.6871631,360.3019807,93.87998508,100,Yes,2
Treatment,Medium Value,155.2013953,230.8423263,61.39581856,74.24585961,No,2
Treatment,,,281.2039753,,100,Yes,2
,Low Value,163.3576698,198.4564768,70.24902619,,Yes,2
Control,High Value,246.2497928,294.9061903,60.47019705,90.03286518,Yes,2
Control,Low Value,169.2856799,205.3994261,42.48336588,43.75720489,Yes,2
,High Value,118.4147922,177.655114,66.62274751,72.56039103,Yes,2
Control,Low Value,,157.2044143,57.4005882,,No,2
Treatment,Low Value,165.9611448,262.2660486,60.99399584,67.07472316,No,2
Treatment,,201.8083924,305.7727487,54.02014737,69.26760529,No,2
Control,Low Value,203.6144817,,51.06562435,41.86259831,,2
,Medium Value,,307.9647872,69.40090599,79.12092525,No,2
Control,High Value,203.243545,245.6558845,89.39517284,100,No,2
Control,High Value,195.5083832,228.6095449,100,100,Yes,2
Control,High Value,230.4563606,274.6280855,88.75733877,100,Yes,2
Treatment,Low Value,,319.1057468,45.08738445,47.19030233,Yes,2
Control,High Value,191.344587,224.290621,97.59947556,100,Yes,2
Treatment,High Value,,258.1934115,,100,,2
Control,Medium Value,188.3611709,230.2849127,56.34291672,61.8344631,Yes,2
Control,Medium Value,155.6193579,192.6505177,78.71000868,92.08841976,Yes,2
Treatment,Low Value,227.8975994,353.3335026,,65.87170075,Yes,2
Control,,244.7152803,291.9614367,96.53552002,96.34789443,No,2
Treatment,High Value,,,68.58919704,78.50229865,No,2
,Low Value,105.3010603,164.0245884,57.70701462,,Yes,2
Treatment,,,316.0457307,79.388894,88.56051516,No,2
,Medium Value,261.9510046,406.4389913,,59.60002758,,2
Treatment,,118.6075392,200.6305652,,63.32626382,No,2
Treatment,High Value,171.7437139,269.9421304,99.85699458,,No,2
Control,High Value,252.792812,311.4155023,,96.11399155,No,2
Treatment,High Value,187.3389419,295.601404,95.58091013,97.05554619,Yes,2
,Low Value,252.0789455,305.0565893,52.81155344,56.19233848,No,2
Control,Medium Value,233.5775548,284.8155491,79.47327451,92.4772616,Yes,2
Treatment,Low Value,144.6857394,225.8774458,53.44687754,58.87998543,Yes,2
Treatment,High Value,189.0423669,293.9270192,96.51434432,73.92144865,No,2
Control,Low Value,151.0494462,190.7936613,54.86813476,67.44858259,Yes,2
Treatment,Medium Value,199.9376077,311.3324896,58.74982569,56.94130146,Yes,2
Treatment,,191.1171291,302.9631235,45.30934712,,Yes,2
Control,High Value,228.8571174,282.8822601,68.4120943,,Yes,2
Control,,132.9365774,163.9323811,64.263746,48.36965676,No,2
Control,Low Value,217.8000214,266.3805097,58.94909312,65.13434603,Yes,2
Treatment,Low Value,159.1312144,237.6014429,55.0839859,48.35405283,No,2
,Medium Value,145.885724,,68.44116208,59.81134735,Yes,2
Treatment,Medium Value,,273.8684691,82.39215224,,Yes,2
Control,Medium Value,215.4816378,266.6609825,,69.56071037,Yes,2
Control,Low Value,155.8169368,,,48.7151721,Yes,2
Control,High Value,163.405393,205.3760981,79.21986054,100,No,2
Treatment,Medium Value,167.6216224,266.0807702,,62.54376565,Yes,2
Control,Medium Value,247.3247448,306.8672376,78.15629364,77.77660519,No,2
Control,Medium Value,268.4336607,319.3661795,79.74544595,72.82250412,Yes,2
Treatment,High Value,268.2559565,427.6518073,82.64757834,91.91671868,No,2
Treatment,High Value,251.6489485,391.6433111,,100,,2
Treatment,Low Value,164.8439066,253.6141027,62.75230175,52.58007571,No,2
Treatment,Medium Value,201.0213576,328.4060906,56.23978423,43.65107271,No,2
Treatment,High Value,239.2602757,368.2488473,93.52310316,,Yes,2
Treatment,Low Value,159.5150258,,62.14678258,66.92667684,Yes,2
Treatment,Medium Value,234.8511966,,,70.47939747,No,2
Control,High Value,127.2636008,150.8998274,80.33217945,77.9574471,No,2
Treatment,High Value,203.8462203,,66.24905805,73.5254646,,2
Treatment,Low Value,97.75345921,,53.67057286,43.12369754,No,2
Treatment,Medium Value,157.3342441,249.9784318,55.59213094,48.00373712,No,2
Control,,258.6071343,301.7417821,70.75215697,69.38089368,Yes,2
Control,High Value,147.1964593,177.5956509,,63.65969195,Yes,2
Treatment,,140.5181456,209.2911505,,,Yes,2
Treatment,Low Value,139.7089452,216.0961285,,37.73614522,No,2
Treatment,High Value,276.1964527,430.3857966,97.91445158,,No,2
Control,High Value,290.8852739,,84.17888975,96.08956518,No,2
Control,Low Value,222.2484281,269.6987393,61.1899457,67.6414822,Yes,2
Treatment,,,415.3709207,79.91876547,100,Yes,2
Control,,279.1857555,333.4082067,89.28397427,99.71841571,No,2
,Medium Value,101.9937497,178.8233994,56.36832177,59.32605257,Yes,2
Control,High Value,145.3336669,175.1312787,,70.94711798,Yes,2
Control,Low Value,,166.6027981,,,Yes,2
,Low Value,179.3258625,267.2830082,51.03924483,49.57341464,No,2
,Medium Value,195.2070116,307.360529,78.75458379,95.09987806,No,2
Treatment,Low Value,175.0140449,262.9796102,43.26994522,50.46001176,Yes,2
,High Value,260.9019941,386.8974398,,73.76033425,No,2
Control,,191.0302068,233.0709684,56.34926569,64.62508533,Yes,2
Control,Medium Value,203.8462203,243.7668889,56.74526855,64.88792481,No,2
,Medium Value,179.8691323,270.9175208,69.66872891,83.29957452,Yes,2
Control,,185.6645989,219.5414779,63.60171514,,No,2
,High Value,272.1419853,443.277222,92.79010772,97.28105266,No,2
Control,,212.3643784,258.0293152,83.26272991,90.35329826,No,2
Treatment,High Value,331.8409203,524.4350406,89.55703404,100,No,2
,Medium Value,243.3801195,391.0322955,51.97727537,66.24732832,No,2
Control,High Value,228.0813541,,79.51743099,86.72755061,No,2
Treatment,Low Value,187.9055873,295.576908,56.20183435,71.21781248,Yes,2
Treatment,Low Value,208.7403265,330.3259836,55.12465224,73.47053922,No,2
Control,High Value,,383.2392881,94.57059308,100,No,2
Treatment,Medium Value,250.8544381,377.1571392,77.04640961,,No,2
Treatment,High Value,237.599724,374.9314987,,,Yes,2
Treatment,Low Value,143.3908128,221.1972969,34.50882858,48.36281704,Yes,2
Control,Low Value,194.5625869,218.4168805,55.09769108,38.65232167,Yes,2
Control,Low Value,,243.8488429,48.10239805,54.89846752,Yes,2
,High Value,249.1195788,386.0501233,80.5826093,66.6184935,Yes,2
Control,Low Value,144.6946345,179.8018521,50.17696297,67.85588472,Yes,2
Treatment,Medium Value,233.6505601,364.8426768,71.16431186,69.14916292,Yes,2
Treatment,High Value,256.4177044,395.2289759,,80.04575995,No,2
,High Value,148.4608295,221.776318,64.12742175,73.92144865,Yes,2
Treatment,Low Value,124.9269734,194.6854905,,60.24670177,Yes,2
Treatment,Low Value,228.5817523,359.0790197,58.70726077,54.42431843,No,2
Control,Medium Value,145.2677695,178.9618493,64.62062815,75.94311313,No,2
Treatment,,302.1372429,480.2772753,94.58797972,82.00096617,,2
Control,Low Value,161.4715003,186.9890518,56.62315233,44.154117,Yes,2
Control,Medium Value,213.270242,258.6977513,72.43500871,84.12557096,No,2
Treatment,,,296.2408671,56.15661182,50.83833414,Yes,2
Treatment,High Value,172.8722142,269.1933163,81.10994595,69.98476478,No,2
Control,Low Value,203.8462203,243.7668889,56.52241414,51.28019483,No,2
Control,High Value,197.2044446,249.559877,91.90181614,90.22176999,Yes,2
,Low Value,171.845521,205.7170973,,51.05840213,No,2
Treatment,High Value,101.7378274,161.4401256,87.91133319,,No,2
Control,Medium Value,,148.2754015,66.29876946,81.98436688,Yes,2
Treatment,High Value,281.5978753,431.4157675,92.4552695,95.76360287,No,2
Treatment,,,298.567985,69.24226691,65.18163576,No,2
Treatment,,175.9691971,262.3400645,87.03993772,100,No,2
Control,Medium Value,177.3673217,210.0098489,86.50736623,99.27669579,No,2
Treatment,Low Value,,326.1416344,57.87343872,66.00427415,Yes,2
Treatment,High Value,289.0811049,445.8178874,87.45484812,,No,2
Treatment,Low Value,148.1149133,230.1451896,,,Yes,2
Treatment,,250.845159,381.7099294,70.16377809,88.77934588,Yes,2
Treatment,High Value,208.5101675,325.2034054,77.96303068,84.14694103,Yes,2
Control,,246.9048519,290.3862866,67.69899734,,No,2
Treatment,Low Value,98.87036104,153.3123643,49.48945482,57.14766038,No,2
Treatment,High Value,129.2326779,200.4150042,84.44187359,100,No,2
Control,High Value,256.0170921,307.8796838,99.77106857,86.83705158,Yes,2
Treatment,Low Value,183.7709379,296.1975694,59.13302419,61.63900742,No,2
Control,High Value,236.6231072,297.4638779,97.00892681,99.27496307,Yes,2
Treatment,Low Value,129.565811,216.4317416,51.95538326,66.08569845,,2
Control,Low Value,153.9141143,186.5101638,52.57732407,69.52258902,No,2
Control,,103.4190603,126.2775051,58.28065087,63.95402955,,2
Treatment,Low Value,142.2553685,,57.02646633,,No,2
Treatment,Low Value,168.7297579,270.3352343,,,No,2
Treatment,Medium Value,205.3895921,316.6864829,76.29743363,,No,2
Control,Medium Value,156.8023317,183.2892498,68.39367432,,No,2
Control,,200.0425023,230.2165333,50.00474918,51.53506688,No,2
Control,Medium Value,188.5864018,233.1520936,45.8476875,64.23206096,No,2
Treatment,Medium Value,188.5311868,297.690674,65.49144873,,No,2
Control,High Value,219.3071127,259.1469453,77.29800074,82.99596959,,2
Control,Low Value,268.4130226,332.2105859,53.59263672,54.26500913,Yes,2
Treatment,Medium Value,177.8415014,273.9659694,62.30945113,51.12567668,Yes,2
Control,High Value,257.4927658,320.7073985,,77.54567162,Yes,2
Control,,243.8917667,288.3240628,70.24902619,,Yes,2
Treatment,Low Value,152.9656991,241.5694988,45.2886973,44.3340788,Yes,2
Treatment,High Value,176.8849401,273.2925832,74.2645229,100,,2
Treatment,Low Value,191.6128268,291.301666,,76,No,2
Treatment,Low Value,179.2538906,281.5189261,36.16302321,43.59241102,Yes,2
Treatment,High Value,282.5114807,435.9347546,96.42095861,100,No,2
Treatment,,171.2460838,255.2855266,,,No,2
,Low Value,171.4337272,196.983438,49.90868852,,Yes,2
Control,Medium Value,228.1463951,276.3509508,72.29815864,,Yes,2
Treatment,Low Value,153.6902789,224.9197729,,,No,2
Treatment,Medium Value,232.6012217,362.3919286,71.63458543,71.90102727,No,2
Treatment,Medium Value,119.6904882,176.5257661,74.2412497,85.28884265,No,2
Treatment,,199.0039707,300.6504365,98.64060552,,No,2
Treatment,Low Value,175.0652427,,70.24902619,76,Yes,2
,Low Value,177.8903486,,41.89138074,48.80061911,Yes,2
Control,High Value,206.906678,249.4082173,,94.91166537,Yes,2
Treatment,High Value,194.1960832,300.701782,86.39570715,93.84122167,Yes,2
,High Value,124.4646341,208.8827725,85.17373814,97.17561216,Yes,2
Control,Low Value,159.0014593,200.9346884,40.07385236,43.48475099,Yes,2
Control,Low Value,127.2572005,155.8358029,70.24902619,,No,2
Treatment,,,308.4341482,79.73301901,82.35549701,,2
Treatment,High Value,150.253822,237.174019,91.49339984,77.10921638,No,2
Control,,209.2650065,257.9486101,63.68630171,,No,2
Control,Low Value,,302.3625563,50.72214768,57.07362883,Yes,2
Control,,,172.2847956,65.35396919,89.02726018,No,2
,Medium Value,122.5642231,181.361421,,65.42753508,Yes,2
Control,,221.5630713,271.3589166,56.6933707,60.6089116,Yes,2
,Low Value,255.0981968,,52.06471622,61.20401261,Yes,2
Control,High Value,144.9822234,177.8699245,95.45110383,,No,2
,Medium Value,,232.9540909,72.23801931,,No,2
Control,Low Value,190.6444012,233.3980949,44.17404812,,Yes,2
Control,,160.6593293,196.7793498,,53.68415927,Yes,2
Treatment,Medium Value,93.98873367,144.6427754,83.06504917,90.7606422,No,2
,Low Value,112.171656,166.8151945,57.99675607,69.96744026,No,2
Control,High Value,149.7096273,193.4134,83.42338793,100,Yes,2
Treatment,High Value,,213.3537913,95.66784806,100,No,2
Control,,193.7648663,234.7371032,,53.78521062,Yes,2
Control,High Value,,326.3130778,99.39805354,95.29732014,Yes,2
Control,Low Value,117.603163,149.8018141,42.56977272,49.69886402,,2
Control,Low Value,135.6842026,164.3585511,54.75044379,64.29238427,,2
,,119.9927351,182.677782,50.8522387,,,2
Control,Low Value,177.1827289,211.3809238,52.27212662,52.54633862,Yes,2
Control,Medium Value,151.6542793,188.9444794,74.78606013,56.22362305,No,2
Treatment,High Value,167.0351161,272.1179396,100,,Yes,2
Control,,125.1015409,156.1704819,81.93743423,68.27239728,No,2
Control,Low Value,,282.827777,,,Yes,2
,Medium Value,303.2478505,359.4684836,51.60342565,52.62809427,Yes,2
Treatment,,,272.1584498,49.64892658,50.93689895,No,2
Control,Low Value,236.126583,287.2783428,52.43370544,60.3833176,Yes,2
Treatment,Medium Value,167.8677813,271.9663774,,73.69552622,Yes,2
Control,Medium Value,193.1759528,224.2493993,69.86828268,92.57047483,Yes,2
Control,Low Value,202.2576548,234.6639443,59.50032323,62.80662417,No,2
Treatment,,164.5787764,,100,94.63311906,Yes,2
Control,Low Value,171.5064484,208.4803373,52.38298411,39.13303267,No,2
Control,High Value,,241.9964135,90.08010908,100,Yes,2
Treatment,,,,76.07746392,,Yes,2
Treatment,,200.0844116,309.8751739,68.49848835,79.92537386,No,2
Treatment,Medium Value,153.1278129,250.7541461,,64.34421869,No,2
Treatment,Low Value,155.718021,255.6192204,53.96297212,49.62809454,Yes,2
Treatment,High Value,268.2850706,425.4252321,78.11106767,100,Yes,2
Control,High Value,231.6027947,276.187695,88.31063463,91.11509452,Yes,2
,Low Value,195.6121727,286.9596096,54.08156453,52.92769004,Yes,2
Control,Low Value,266.0145017,316.9447639,54.65712775,68.92313617,No,2
Control,Low Value,116.2871055,141.7092606,,46.7835157,No,2
Control,Medium Value,217.0079731,265.9011608,70.16250901,67.23451013,No,2
Treatment,Low Value,,271.8949066,69.40948809,76,Yes,2
Treatment,,187.4365667,293.4874723,52.83085389,66.72568562,Yes,2
Control,High Value,,276.2169387,100,100,Yes,2
Treatment,,136.3675983,206.706865,63.40374598,72.8645661,,2
Treatment,High Value,147.5974433,217.9076609,69.88027131,98.13011383,No,2
Treatment,High Value,213.4611597,314.2466146,,99.92708101,Yes,2
Treatment,Medium Value,149.884486,243.5201484,67.40304687,77.49392844,No,2
Control,Low Value,157.3311715,182.8486995,67.14303949,,,2
Control,Low Value,204.4803494,244.8715851,,70.02868474,No,2
Treatment,High Value,144.3645046,234.7016447,,60.67407509,No,2
Control,Medium Value,188.5697631,237.3845041,59.87385482,39.78358979,Yes,2
Treatment,Medium Value,247.2933376,388.2823826,80.05955553,96.97957026,,2
Treatment,Low Value,147.7975075,225.2459562,48.6431431,,Yes,2
Control,High Value,293.004839,,94.03336724,88.2380983,No,2
Control,Low Value,101.5735064,117.4999615,50.2358689,69.20632552,No,2
Control,Low Value,254.3299739,306.2768069,44.1151112,58.13595984,No,2
Control,Low Value,229.9896337,,44.10774705,,,2
Treatment,,96.98575264,,52.85316066,57.46307064,No,2
Treatment,Low Value,201.4967157,313.329986,64.01893776,72.64528246,Yes,2
,Medium Value,319.6976087,510.6198761,75.43889345,88.93435645,Yes,2
Treatment,Medium Value,153.4853663,235.2568799,64.9225893,71.14872375,No,2
Treatment,Low Value,155.2180656,245.9832714,,64.03999809,No,2
Control,High Value,179.9724538,218.6646136,50.25521451,48.86609009,No,2
Treatment,Medium Value,220.4790797,346.3782645,65.07969521,95.60450464,No,2
Treatment,Medium Value,232.835334,368.8596213,,78.10766527,No,2
Control,Low Value,182.4019968,,53.57663658,67.6817159,No,2
Treatment,Low Value,204.1029495,312.2427403,44.14295499,49.57929753,Yes,2
Control,Low Value,171.275349,206.4731652,50.65390833,44.54522479,Yes,2
Control,Low Value,226.0587593,,44.71485814,,No,2
Treatment,,,240.9491715,100,100,No,2
Control,High Value,286.1063748,360.0868358,100,100,Yes,2
Treatment,Medium Value,154.7658892,243.9376084,79.37758224,80.06036608,No,2
Control,High Value,209.0125213,263.8013108,99.13130816,96.78136321,No,2
Control,Medium Value,125.5451138,,66.69728861,66.05146336,Yes,2
Control,,214.4455915,255.5013801,63.54729703,85.39922136,No,2
Treatment,High Value,218.9402928,341.8538476,64.47277238,68.5657941,Yes,2
Treatment,Medium Value,227.8133797,369.9909606,70.3076443,92.92968276,Yes,2
Control,Medium Value,82.02937269,101.1819816,85.97500831,92.55414859,Yes,2
Treatment,Low Value,168.2954171,264.2697159,67.35845872,62.33075842,Yes,2
Treatment,,260.5861498,403.4274273,54.01434217,,Yes,2
Treatment,High Value,199.6543849,321.9289501,79.01596044,77.66872116,Yes,2
Treatment,Medium Value,160.1418906,252.8119532,51.01814532,66.1606054,No,2
Treatment,Medium Value,180.6016616,277.8294709,71.05334626,69.23954889,Yes,2
,Low Value,171.9223052,210.2033958,53.35040531,65.47921778,Yes,2
Treatment,High Value,257.0962902,401.821666,86.57924693,82.92118834,Yes,2
Control,Medium Value,203.5259689,243.3023458,64.78499359,69.22303359,No,2
Treatment,Low Value,136.6269112,211.1591385,57.01196563,51.42140252,,2
Treatment,Low Value,105.8852628,169.5128706,61.3572662,,No,2
Control,Medium Value,205.835163,246.4829267,66.67430669,75.07283382,Yes,2
Control,High Value,79.28906117,115.2917229,81.44480645,93.3925123,No,2
Treatment,High Value,105.2275512,153.3267546,96.60980744,91.20575746,No,2
Treatment,,115.9595288,,47.79511168,,Yes,2
Treatment,,253.6308223,393.5795542,84.36912965,90.72284232,Yes,2
Treatment,,109.479373,175.5775713,47.66722023,,Yes,2
Treatment,High Value,233.0754559,363.3892061,,100,,2
,,138.3228565,,76.53936571,89.68391465,,2
Control,High Value,193.8105749,226.5596763,74.70769135,,No,2
,Low Value,166.4031367,264.860095,50.94313168,47.61294924,Yes,2
,Low Value,166.5033841,216.5941418,,,No,2
Control,High Value,181.194933,212.3514925,73.44646751,,Yes,2
Control,Medium Value,106.753548,133.5132346,73.57943988,62.72795704,Yes,2
Treatment,Low Value,171.0810989,280.358984,51.5774354,59.53458028,Yes,2
Control,Low Value,195.9130399,,44.50121562,56.74463707,No,2
Treatment,,195.7909973,310.07663,,,No,2
Control,Low Value,177.7972748,214.6181672,63.87368806,71.46045176,Yes,2
,,179.7994913,295.5598598,45.61513713,42.46805899,Yes,2
,Medium Value,150.9570995,187.9484006,78.51786599,,No,2
Treatment,High Value,231.7611355,374.2589273,93.75436088,91.00499481,No,2
Treatment,Medium Value,207.1553661,324.6069307,,75.96353969,,2
Control,Medium Value,175.5104929,216.6925416,73.51945505,86.13050377,Yes,2
Treatment,Low Value,172.5748194,270.9238494,55.23633424,60.23482436,No,2
Treatment,Medium Value,187.2112541,300.702783,78.17663492,86.74623133,No,2
Treatment,Low Value,103.8983939,161.0537527,57.31334537,40.80333429,No,2
Treatment,Medium Value,173.0416624,279.4437003,,62.8116122,No,2
Treatment,Medium Value,200.2136449,305.6374163,72.94382701,93.95963064,Yes,2
Control,Medium Value,95.21141334,119.2715044,74.42048145,78.85443788,No,2
Control,Low Value,198.8896242,242.7581039,44.55083759,53.25404258,No,2
Control,High Value,223.8636207,270.6916718,93.32495416,91.29741225,,2
Treatment,,148.8674959,240.4021075,35.97113005,44.46249112,Yes,2
Control,Low Value,178.4403174,213.884061,,61.82637452,No,2
Treatment,Low Value,109.6632659,162.7048752,55.78847606,,Yes,2
Treatment,Low Value,174.191554,269.3838351,30.89639765,34.32834319,No,2
,High Value,225.3406794,266.9707035,73.55773718,90.44118719,Yes,2
Treatment,Low Value,135.90943,211.7110943,38.29912708,41.60355462,Yes,2
Treatment,Medium Value,166.2132252,262.6868705,59.3269741,61.53148732,Yes,2
Treatment,Medium Value,164.3462954,275.1051411,,76.53751739,Yes,2
Treatment,Medium Value,155.3415711,232.6635902,85.8198233,94.80781689,No,2
Control,High Value,162.4810076,203.168191,94.81982249,,Yes,2
,Low Value,136.9698947,160.6226016,49.09248173,55.00026302,No,2
Treatment,,,384.4558301,94.25875354,89.850358,,2
Treatment,Low Value,95.66169181,147.0054675,57.37001319,60.49627008,No,2
Control,High Value,222.2105016,270.4264579,100,100,No,2
Treatment,,232.8337763,,98.74202951,100,No,2
Control,Low Value,101.5120108,115.4389093,52.13355041,64.37988236,No,2
,,202.5376982,321.5678624,67.62410234,,No,2
Treatment,Low Value,134.1490333,214.1715197,62.57639176,69.49335778,Yes,2
Control,,253.6326008,312.6633846,,86.98711947,No,2
Control,Medium Value,183.1180565,222.2108145,,60.6958152,No,2
Control,Medium Value,265.6390214,341.9301049,,49.51841755,No,2
Control,High Value,283.6165997,350.5707722,70.11688012,100,No,2
Treatment,Medium Value,202.4102328,323.4454045,71.81250399,,No,2
Control,Low Value,266.6559611,323.8595124,50.00523678,50.85498791,Yes,2
Treatment,Medium Value,119.3672139,193.5924094,79.37203265,75.45541295,Yes,2
Control,Medium Value,257.3418207,311.6973719,86.4690898,81.30200804,No,2
Control,High Value,,246.6156446,61.6365155,59.16554172,Yes,2
Treatment,Low Value,,246.7434914,44.66274334,,No,2
,High Value,,234.9086109,86.97592695,68.34560474,Yes,2
Control,,121.2112089,151.5977504,100,100,No,2
Control,Low Value,198.972503,242.5832627,46.96894459,54.69165945,No,2
Control,High Value,136.3590858,168.4677428,89.27195243,,Yes,2
Treatment,Low Value,137.7487262,222.7687088,43.20961676,49.09742716,No,2
Treatment,,163.3864664,261.2578552,66.57916831,65.985512,Yes,2
,Low Value,,266.330317,53.16000706,52.30061748,,2
Control,,163.5405225,199.9476139,50.24566077,55.95425412,Yes,2
Control,Low Value,53.94198374,73.40193553,64.32831379,74.02945738,No,2
Treatment,High Value,,263.2370415,100,100,No,2
Treatment,Low Value,99.91053172,151.2454093,49.56541237,42.48715009,No,2
,Low Value,195.6534459,304.8497549,51.36238954,51.99186767,No,2
Treatment,Low Value,121.5953962,198.9782288,57.40961108,,Yes,2
Control,Medium Value,158.9186414,196.2320041,68.59440787,85.80174464,,2
Control,,257.6215092,307.5207888,,,Yes,2
Control,,,296.3496982,78.83614428,97.66957812,Yes,2
Treatment,Low Value,116.5534734,189.9441314,57.08505603,60.84004276,Yes,2
Control,,200.4031118,252.9790936,47.04527379,54.48167275,Yes,2
,Medium Value,152.2267066,259.0004077,62.5491006,62.71915601,No,2
Treatment,Low Value,205.9764094,310.7591441,54.18644016,62.62146578,No,2
Control,High Value,,237.1774481,87.55760915,,,2
Control,Low Value,129.3116738,153.6293842,51.83372026,48.56820726,No,2
Control,High Value,143.8980131,182.8051073,64.97522419,,Yes,2
Treatment,Medium Value,,310.9883423,69.94955162,93.89715646,Yes,2
Treatment,,214.4925937,332.1987694,,37.7149889,No,2
Control,Medium Value,,259.718961,79.25758428,89.81351902,No,2
Control,Low Value,,191.480807,,57.47336096,No,2
,,113.5241663,176.9122412,88.53358214,,No,2
,Medium Value,157.5982426,186.7956594,62.80840263,,No,2
Treatment,,115.7242861,170.7695367,54.10636361,61.97412947,No,2
Treatment,,,450.0737243,69.8892352,63.70212349,No,2
Control,Medium Value,162.6584588,201.4955892,85.52426391,74.52223189,No,2
Control,,182.2338876,228.8416555,46.88478826,62.61390118,No,2
,Medium Value,168.1575303,197.5516739,76.25177322,80.41415092,No,2
,Low Value,191.2891618,226.2537273,42.86124068,45.283054,Yes,2
Treatment,High Value,,393.3582942,83.19175509,98.94004526,No,2
Treatment,High Value,332.8488744,521.320751,77.66217685,,No,2
Treatment,,154.4255616,245.2772178,,58.66893872,Yes,2
Control,Medium Value,239.21073,287.3493324,,85.16897536,No,2
,Low Value,186.7828461,282.5860659,54.67822092,63.60892655,No,2
Control,,83.55800272,88.95951195,100,41.5506186,Yes,2
Control,Low Value,149.269931,178.3688424,45.65518282,43.93533854,No,2
Control,,232.3153821,284.7804477,89.43626161,89.57483213,Yes,2
,,,203.6321029,61.71015203,68.33369799,Yes,2
Control,Low Value,177.1432946,223.847709,62.09491771,,Yes,2
Control,Low Value,196.2681587,229.1139339,45.40204532,46.67467974,Yes,2
Treatment,High Value,357.0843962,561.0992969,81.2845595,100,No,2
Control,High Value,212.7741475,267.1692621,,100,No,2
Treatment,,142.6155598,223.0189678,76.37306631,62.99625138,No,2
Treatment,Medium Value,,313.7192316,75.32212295,84.08786125,No,2
Control,,147.829249,164.453894,61.33251154,76,Yes,2
Control,High Value,310.6302645,373.04699,74.21376697,,Yes,2
Control,Medium Value,169.5929934,202.5922738,62.50143334,60.01624964,Yes,2
Treatment,High Value,209.7920199,324.7590753,100,100,No,2
Control,,194.7230872,237.3278536,53.64445555,60.67985427,Yes,2
Treatment,High Value,245.1005757,401.4797921,84.00472991,73.71099235,Yes,2
Control,,232.7221306,,45.88351772,66.16704416,Yes,2
Control,Medium Value,226.0118173,267.5576338,65.40623663,83.23690142,Yes,2
Treatment,Medium Value,302.9125596,474.2820144,66.51009716,,No,2
